"","marker","CHROM","POS","trait","log10p","BF","aboveBF","strain","value","allele","var.exp","startPOS","peakPOS","endPOS","peak_id","interval_size"
"1","X_14330699","X",14330699,"d_blob_quirkiness_w_forward_10th_medianDiff",5.41461795942585,5.2006316548101,1,"AB1",0.0011354,-1,0.106706516027325,13905367,14330699,14727727,1,822360
"2","X_14330699","X",14330699,"d_blob_quirkiness_w_forward_10th_medianDiff",5.41461795942585,5.2006316548101,1,"BRC20067",-0.0059012,-1,0.106706516027325,13905367,14330699,14727727,1,822360
"3","X_14330699","X",14330699,"d_blob_quirkiness_w_forward_10th_medianDiff",5.41461795942585,5.2006316548101,1,"CB4852",-0.0033951,-1,0.106706516027325,13905367,14330699,14727727,1,822360
"4","X_14330699","X",14330699,"d_blob_quirkiness_w_forward_10th_medianDiff",5.41461795942585,5.2006316548101,1,"CB4853",-0.003894,-1,0.106706516027325,13905367,14330699,14727727,1,822360
"5","X_14330699","X",14330699,"d_blob_quirkiness_w_forward_10th_medianDiff",5.41461795942585,5.2006316548101,1,"CB4854",-0.0039599,-1,0.106706516027325,13905367,14330699,14727727,1,822360
"6","X_14330699","X",14330699,"d_blob_quirkiness_w_forward_10th_medianDiff",5.41461795942585,5.2006316548101,1,"CB4855",0.00077764,-1,0.106706516027325,13905367,14330699,14727727,1,822360
"7","X_14330699","X",14330699,"d_blob_quirkiness_w_forward_10th_medianDiff",5.41461795942585,5.2006316548101,1,"CB4856",-0.0063069,-1,0.106706516027325,13905367,14330699,14727727,1,822360
"8","X_14330699","X",14330699,"d_blob_quirkiness_w_forward_10th_medianDiff",5.41461795942585,5.2006316548101,1,"CB4857",-0.0064152,-1,0.106706516027325,13905367,14330699,14727727,1,822360
"9","X_14330699","X",14330699,"d_blob_quirkiness_w_forward_10th_medianDiff",5.41461795942585,5.2006316548101,1,"CB4858",-0.0028361,-1,0.106706516027325,13905367,14330699,14727727,1,822360
"10","X_14330699","X",14330699,"d_blob_quirkiness_w_forward_10th_medianDiff",5.41461795942585,5.2006316548101,1,"CB4932",-0.0057516,-1,0.106706516027325,13905367,14330699,14727727,1,822360
"11","X_14330699","X",14330699,"d_blob_quirkiness_w_forward_10th_medianDiff",5.41461795942585,5.2006316548101,1,"CX11254",-0.0038968,1,0.106706516027325,13905367,14330699,14727727,1,822360
"12","X_14330699","X",14330699,"d_blob_quirkiness_w_forward_10th_medianDiff",5.41461795942585,5.2006316548101,1,"CX11262",-0.0022369,-1,0.106706516027325,13905367,14330699,14727727,1,822360
"13","X_14330699","X",14330699,"d_blob_quirkiness_w_forward_10th_medianDiff",5.41461795942585,5.2006316548101,1,"CX11264",-0.0016415,-1,0.106706516027325,13905367,14330699,14727727,1,822360
"14","X_14330699","X",14330699,"d_blob_quirkiness_w_forward_10th_medianDiff",5.41461795942585,5.2006316548101,1,"CX11271",-0.012076,-1,0.106706516027325,13905367,14330699,14727727,1,822360
"15","X_14330699","X",14330699,"d_blob_quirkiness_w_forward_10th_medianDiff",5.41461795942585,5.2006316548101,1,"CX11276",-0.0038212,-1,0.106706516027325,13905367,14330699,14727727,1,822360
"16","X_14330699","X",14330699,"d_blob_quirkiness_w_forward_10th_medianDiff",5.41461795942585,5.2006316548101,1,"CX11285",-0.0075904,1,0.106706516027325,13905367,14330699,14727727,1,822360
"17","X_14330699","X",14330699,"d_blob_quirkiness_w_forward_10th_medianDiff",5.41461795942585,5.2006316548101,1,"CX11292",-0.0042476,-1,0.106706516027325,13905367,14330699,14727727,1,822360
"18","X_14330699","X",14330699,"d_blob_quirkiness_w_forward_10th_medianDiff",5.41461795942585,5.2006316548101,1,"CX11307",-0.0123,1,0.106706516027325,13905367,14330699,14727727,1,822360
"19","X_14330699","X",14330699,"d_blob_quirkiness_w_forward_10th_medianDiff",5.41461795942585,5.2006316548101,1,"CX11314",-0.0076251,-1,0.106706516027325,13905367,14330699,14727727,1,822360
