strain	cluster	mw	sw	clusterNorm	mwNorm
AB1	0.3727	0.22275	0.0587	7.0122	5.4066
BRC20067	0.257	0.15374	0.059725	6.225	3.2119
CB4852	0.28895	0.1177	0.0614	4.8145	2.9987
CB4854	0.3122	0.24068	0.056575	6.6025	5.0485
CB4856	0.34339	0.23612	0.05335	6.4921	4.8426
CB4932	0.30675	0.25265	0.0511	6.6708	6.066
CX11254	0.23882	0.17503	0.054325	5.0079	3.7231
CX11262	0.29966	0.17175	0.05505	6.2625	3.5634
CX11264	0.24202	0.16493	0.04205	6.0717	4.699
CX11271	0.29388	0.17468	0.042975	8.3252	4.7408
CX11276	0.2965	0.21025	0.0568	5.9123	4.1924
CX11285	0.24126	0.1339	0.04735	5.9944	3.0782
CX11292	0.40869	0.26344	0.0544	8.3237	5.3654
CX11307	0.33954	0.208	0.0499	7.8359	4.8655
CX11314	0.33429	0.27365	0.05665	7.3933	5.6932
CX11315	0.23519	0.152	0.0475	5.8451	3.8324
DL200	0.2928	0.26685	0.05565	6.9631	6.346
DL226	0.42665	0.364	0.0633	7.2002	6.1618
DL238	0.3391	0.27952	0.057175	6.9488	5.4935
ECA246	0.1228	0.04427	0.02995	4.8251	1.7944
ECA248	0.46157	0.38991	0.0616	8.6762	7.4056
ECA250	0.397	0.38775	0.06625	6.2128	6.0681
ECA251	0.40277	0.32235	0.054	8.0874	6.5515
ECA252	0.39535	0.14536	0.06045	7.0801	2.9784
ECA259	0.38234	0.26145	0.055125	7.3583	4.9676
ECA348	0.22539	0.0634	0.05155	4.5718	1.3277
ECA349	0.2562	0.21425	0.04775	7.2578	4.6572
ECA36	0.31908	0.21635	0.053025	6.8508	4.6866
ECA363	0.21893	0.14398	0.0516	4.9195	2.9613
ECA372	0.48245	0.40276	0.06285	8.3977	7.0107
ECA396	0.23274	0.1463	0.0481	5.4292	3.4034
ED3005	0.33398	0.25757	0.057975	6.4293	4.8939
ED3011	0.36909	0.27705	0.055575	6.995	5.6618
ED3012	0.35421	0.31691	0.053425	8.0463	6.983
ED3017	0.29639	0.1983	0.0564	7.7614	4.6604
ED3040	0.4805	0.46222	0.05705	9.7501	9.3679
ED3046	0.37833	0.34805	0.05565	8.1303	7.6327
ED3048	0.3937	0.32104	0.05595	7.6207	6.2414
ED3049	0.3487	0.27495	0.05635	7.2587	5.607
ED3052	0.39645	0.26652	0.06115	7.548	4.9356
ED3073	0.29002	0.183	0.0526	5.4311	3.6684
ED3077	0.42385	0.30945	0.0523	9.0544	6.0029
EG4347	0.33986	0.26955	0.04995	6.6444	5.2698
EG4349	0.44518	0.3928	0.0616	8.2025	7.255
EG4724	0.36025	0.2839	0.0458	8.1005	6.1811
EG4725	0.31542	0.18933	0.0591	6.6077	4.2005
EG4946	0.44211	0.39177	0.061675	7.9377	7.041
GXW1	0.38284	0.34235	0.06355	6.6464	5.9436
JT11398	0.41892	0.40665	0.05845	8.8108	7.9735
JU1088	0.34991	0.31857	0.054325	7.4796	6.5622
JU1172	0.30343	0.21663	0.050325	6.785	4.9655
JU1200	0.33518	0.27462	0.052125	8.0647	6.6289
JU1212	0.2471	0.1584	0.05154	6.5932	3.9946
